Ticker,MDA_LSTM,MDA_ARIMA,CCC_LSTM,CCC_ARIMA,SPA_LSTM,SPA_ARIMA,HR_LSTM,HR_ARIMA
TECHM.NS,0.5263157894736842,0.631578947368421,0.6543202845747487,0.6924230811011928,0.7,0.6,0.5263157894736842,0.631578947368421
M&M.NS,0.5263157894736842,0.42105263157894735,0.18426557243008485,-0.5806357481084865,0.75,0.05,0.5263157894736842,0.42105263157894735
WIPRO.NS,0.5263157894736842,0.3684210526315789,0.4676694245296406,0.40277754365691965,0.7,0.35,0.5263157894736842,0.3684210526315789
SBIN.NS,0.6842105263157895,0.5789473684210527,-0.10751871925272807,-0.6547914710068199,0.7,0.2,0.6842105263157895,0.5789473684210527
BAJFINANCE.NS,0.47368421052631576,0.3684210526315789,-0.5339990343380958,-0.6507687976818091,0.25,0.7,0.47368421052631576,0.3684210526315789
INFY.NS,0.5789473684210527,0.42105263157894735,0.4055530494138827,0.8443343063939878,0.6,0.6,0.5789473684210527,0.42105263157894735
KOTAKBANK.NS,0.5789473684210527,0.5789473684210527,-0.044116226934937636,-0.7416486005333081,0.85,0.05,0.5789473684210527,0.5789473684210527
TRENT.NS,0.5789473684210527,0.5789473684210527,0.006005983704914258,0.7243267252280956,0.15,0.95,0.5789473684210527,0.5789473684210527
BAJAJFINSV.NS,0.42105263157894735,0.5263157894736842,-0.5853092189724346,-0.7690134289811358,0.4,0.25,0.42105263157894735,0.5263157894736842
SHRIRAMFIN.NS,0.47368421052631576,0.631578947368421,0.34339576731694765,0.9330217970553708,0.1,0.95,0.47368421052631576,0.631578947368421
ADANIPORTS.NS,0.15789473684210525,0.5263157894736842,-0.5031012197420742,0.36340438078124354,0.3,0.8,0.15789473684210525,0.5263157894736842
TATAMOTORS.NS,0.5789473684210527,0.6842105263157895,0.3434506561508589,0.8054326282777334,0.5,0.85,0.5789473684210527,0.6842105263157895
AXISBANK.NS,0.5789473684210527,0.3684210526315789,0.7327601901418135,-0.6470479543604846,0.75,0.6,0.5789473684210527,0.3684210526315789
COALINDIA.NS,0.47368421052631576,0.42105263157894735,0.42950755637354376,0.3197177846209013,0.35,0.7,0.47368421052631576,0.42105263157894735
HCLTECH.NS,0.631578947368421,0.5789473684210527,0.8014146545175558,0.8211185056707683,0.55,0.75,0.631578947368421,0.5789473684210527
BRITANNIA.NS,0.47368421052631576,0.3157894736842105,0.1865495078963592,-0.7547092977017127,0.95,0.1,0.47368421052631576,0.3157894736842105
ICICIBANK.NS,0.631578947368421,0.631578947368421,0.1891301101967173,0.641256879268064,0.5,0.4,0.631578947368421,0.631578947368421
LT.NS,0.631578947368421,0.5789473684210527,0.7840316307499103,0.8464776733411447,0.4,0.7,0.631578947368421,0.5789473684210527
CIPLA.NS,0.42105263157894735,0.47368421052631576,0.1443505656292909,0.7098823970391586,0.1,1.0,0.42105263157894735,0.47368421052631576
NTPC.NS,0.47368421052631576,0.47368421052631576,-0.11469226670891511,0.06536818267421209,0.4,0.65,0.47368421052631576,0.47368421052631576
BHARTIARTL.NS,0.5263157894736842,0.631578947368421,-0.6236443349150368,0.9497970620342852,0.15,0.95,0.5263157894736842,0.631578947368421
NESTLEIND.NS,0.42105263157894735,0.3157894736842105,-0.013707086938294408,-0.9371449786462059,1.0,0.1,0.42105263157894735,0.3157894736842105
TATACONSUM.NS,0.631578947368421,0.5263157894736842,-0.4105156423764539,0.735550090145087,0.05,1.0,0.631578947368421,0.5263157894736842
HEROMOTOCO.NS,0.6842105263157895,0.6842105263157895,0.7572093149801542,0.8926567262195858,0.35,0.7,0.6842105263157895,0.6842105263157895
APOLLOHOSP.NS,0.631578947368421,0.631578947368421,0.1081307491803826,0.9315300112463876,0.2,0.9,0.631578947368421,0.631578947368421
BEL.NS,0.5263157894736842,0.5263157894736842,0.4281847506407064,0.765617619806533,0.35,0.7,0.5263157894736842,0.5263157894736842
HDFCBANK.NS,0.47368421052631576,0.3684210526315789,-0.6035585395230121,-0.9037587248297326,0.95,0.1,0.47368421052631576,0.3684210526315789
HINDALCO.NS,0.5789473684210527,0.42105263157894735,-0.10431314805389874,-0.791475761701793,0.95,0.05,0.5789473684210527,0.42105263157894735
TCS.NS,0.631578947368421,0.47368421052631576,0.684137334763178,0.05186801911154734,0.55,0.5,0.631578947368421,0.47368421052631576
SBILIFE.NS,0.5263157894736842,0.5263157894736842,0.5860470438022217,-0.6370857192867454,0.5,0.35,0.5263157894736842,0.5263157894736842
POWERGRID.NS,0.5263157894736842,0.6842105263157895,0.3204503398420667,-0.20546212368197164,0.3,0.3,0.5263157894736842,0.6842105263157895
ULTRACEMCO.NS,0.5789473684210527,0.47368421052631576,0.33298623033299224,-0.261667609260018,1.0,0.1,0.5789473684210527,0.47368421052631576
ADANIENT.NS,0.3157894736842105,0.42105263157894735,0.11873542830171166,-0.02872316947012442,0.75,0.75,0.3157894736842105,0.42105263157894735
HDFCLIFE.NS,0.3684210526315789,0.21052631578947367,0.6736756327153954,-0.9319545770929364,0.25,0.05,0.3684210526315789,0.21052631578947367
GRASIM.NS,0.5789473684210527,0.5263157894736842,0.5656494075444429,0.12097804755527614,0.95,0.1,0.5789473684210527,0.5263157894736842
ITC.NS,0.47368421052631576,0.3684210526315789,-0.24502646162229816,-0.7138634729647774,0.65,0.35,0.47368421052631576,0.3684210526315789
DRREDDY.NS,0.21052631578947367,0.3684210526315789,0.5324083792584889,-0.25011397816824227,0.6,0.45,0.21052631578947367,0.3684210526315789
RELIANCE.NS,0.42105263157894735,0.5789473684210527,0.39758128746092636,0.7850226728186653,0.25,0.85,0.42105263157894735,0.5789473684210527
ONGC.NS,0.5789473684210527,0.631578947368421,0.4126949762903275,0.9219236999127662,0.15,1.0,0.5789473684210527,0.631578947368421
JSWSTEEL.NS,0.5789473684210527,0.3684210526315789,0.043278333780815595,-0.7844212736424242,1.0,0.05,0.5789473684210527,0.3684210526315789
EICHERMOT.NS,0.42105263157894735,0.3684210526315789,0.26508937065755817,-0.9119201958214628,0.95,0.05,0.42105263157894735,0.3684210526315789
TITAN.NS,0.42105263157894735,0.5789473684210527,0.1415377899873027,0.6995954761992471,0.05,1.0,0.42105263157894735,0.5789473684210527
SUNPHARMA.NS,0.5789473684210527,0.631578947368421,0.19277534352558873,0.8736380581745345,0.1,1.0,0.5789473684210527,0.631578947368421
INDUSINDBK.NS,0.631578947368421,0.5263157894736842,-0.5264539064793692,-0.01762100098623549,0.35,0.4,0.631578947368421,0.5263157894736842
BPCL.NS,0.47368421052631576,0.6842105263157895,-0.20751169989425314,0.840589164018471,0.4,0.95,0.47368421052631576,0.6842105263157895
MARUTI.NS,0.47368421052631576,0.42105263157894735,0.1761868246688082,-0.5962205109106262,0.25,0.05,0.47368421052631576,0.42105263157894735
TATASTEEL.NS,0.5789473684210527,0.47368421052631576,0.13912337281722342,-0.3544128584977736,0.8,0.15,0.5789473684210527,0.47368421052631576
BAJAJ-AUTO.NS,0.42105263157894735,0.5263157894736842,0.19719046829367387,0.8352100232929865,0.35,0.95,0.42105263157894735,0.5263157894736842
ASIANPAINT.NS,0.2631578947368421,0.3157894736842105,-0.6183687329090458,-0.9370565193055835,1.0,0.05,0.2631578947368421,0.3157894736842105
HINDUNILVR.NS,0.631578947368421,0.47368421052631576,-0.014187816611807152,-0.8484770464731843,1.0,0.1,0.631578947368421,0.47368421052631576
